"ID";"Activo (0/1)";"Nombre*";"Categorías (xyz...)";"Precio sin IVA o Precios con IVA";"ID regla de impuestos";"Precio mayorista";"En rebaja (0/1)";"Valor del descuento";"Porcentaje del descuento";"Descuento desde (aaaa-mm-dd)";"Descuento hasta (aaaa-mm-dd)";"Referencia nº";"N° de referencia proveedor";"Proveedor";"Fabricante";"EAN13";"UPC";"Ecotasa";"Peso";"Cantidad";"Descripción corta";"Descripción";"Etiquetas (x,y,z...)";"Meta-título";"Meta-palabras clave";"Meta-descripción";"Enlace reescrito";"Texto para cuando está disponible";"Texto para cuando se permiten pedidos en espera";"Disponible para ordenar (0 = No, 1 = Si)";"Fecha en la que se añadieron productos";"Mostrar Precio (0 = No, 1 = Si)";"URL's de las imágenes (x,y,z...)";"Elimine las imágenes existentes (0 = no, 1 = si)";"Característica (Nombre:Valor:Posición)";"Solo disponible por Internet (0 = No, 1 = Si)";"Condition";"ID / Nombre de la tiend"
;1;"COL JOVAN MUSK 118ML";"FARMACIA Y MEDICAMENTOS";138,600000;1;149,466000;0;;;;;7501737490070;6900194;"Nadro";"COTY";;;;;5;;;;"COTY - COL JOVAN MUSK 118ML";;;"col-jovan-musk-118ml-7501737490070";"Disponible";"No Disponible";1;;1;;0;;0;"new";
;1;"COL JOVAN MUSK SPY 88ML";"FARMACIA Y MEDICAMENTOS";157,920000;1;170,009600;0;;;;;7501737490087;6900224;"Nadro";"COTY";;;;;5;;;;"COTY - COL JOVAN MUSK SPY 88ML";;;"col-jovan-musk-spy-88ml-7501737490087";"Disponible";"No Disponible";1;;1;;0;;0;"new";
;1;"DESOD JOVAN MUSK F-WOMEN R-ON";"FARMACIA Y MEDICAMENTOS";15,120000;1;15,544000;0;;;;;7501737493217;6905757;"Nadro";"COTY";;;;;5;;;;"COTY - DESOD JOVAN MUSK F-WOMEN R-ON";;;"desod-jovan-musk-f-women-r-on-7501737493217";"Disponible";"No Disponible";1;;1;;0;;0;"new";
;1;"DESOD JOVAN MUSK F-MEN R-ON 50";"FARMACIA Y MEDICAMENTOS";15,120000;1;15,544000;0;;;;;7501737493224;6905730;"Nadro";"COTY";;;;;5;;;;"COTY - DESOD JOVAN MUSK F-MEN R-ON 50";;;"desod-jovan-musk-f-men-r-on-50-7501737493224";"Disponible";"No Disponible";1;;1;;0;;0;"new";
;1;"VENOCLISIS NORMOPLUSEQUIPOS AG";"FARMACIA Y MEDICAMENTOS";22,680000;1;24,209200;0;;;;;7501743760006;3902307;"Nadro";"DAMACO COR";;;;;5;;;;"DAMACO COR - VENOCLISIS NORMOPLUSEQUIPOS AG";;;"venoclisis-normoplusequipos-ag-7501743760006";"Disponible";"No Disponible";1;;1;;0;;0;"new";
;1;"LUBRIGEL OK 60 G";"FARMACIA Y MEDICAMENTOS";21,840000;1;22,944800;0;;;;;7501808500486;13501653;"Nadro";"DIPORSA";;;;;5;;;;"DIPORSA - LUBRIGEL OK 60 G";;;"lubrigel-ok-60-g-7501808500486";"Disponible";"No Disponible";1;;1;;0;;0;"new";
;1;"PANTY FINESSE LIKRA NAT CH";"FARMACIA Y MEDICAMENTOS";16,800000;1;17,933600;0;;;;;7501808593051;13500495;"Nadro";"DIPORSA";;;;;5;;;;"DIPORSA - PANTY FINESSE LIKRA NAT CH";;;"panty-finesse-likra-nat-ch-7501808593051";"Disponible";"No Disponible";1;;1;;0;;0;"new";
;1;"PANTY FINESSE LIKRA NAT MED";"FARMACIA Y MEDICAMENTOS";16,800000;1;17,933600;0;;;;;7501808593068;13500541;"Nadro";"DIPORSA";;;;;5;;;;"DIPORSA - PANTY FINESSE LIKRA NAT MED";;;"panty-finesse-likra-nat-med-7501808593068";"Disponible";"No Disponible";1;;1;;0;;0;"new";
;1;"PANTY FINESSE LIKRA NAT GDE";"FARMACIA Y MEDICAMENTOS";16,800000;1;17,933600;0;;;;;7501808593075;13500606;"Nadro";"DIPORSA";;;;;5;;;;"DIPORSA - PANTY FINESSE LIKRA NAT GDE";;;"panty-finesse-likra-nat-gde-7501808593075";"Disponible";"No Disponible";1;;1;;0;;0;"new";
;1;"PANTY FINESSE LIKRA NEGRO MED";"FARMACIA Y MEDICAMENTOS";16,800000;1;17,933600;0;;;;;7501808593105;13500517;"Nadro";"DIPORSA";;;;;5;;;;"DIPORSA - PANTY FINESSE LIKRA NEGRO MED";;;"panty-finesse-likra-negro-med-7501808593105";"Disponible";"No Disponible";1;;1;;0;;0;"new";
